Name,Age,Height,Weight,ValueEUR,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Overall
A. Hayden,24,186,79,850000,Medium,Medium,67,30,43,51,63,76,64
E. Florescu,24,188,69,1200000,Medium,Medium,70,66,63,65,52,61,64
Toni Herrero,20,178,74,1300000,High,Medium,76,46,60,66,57,58,64
B. Śpiączka,29,184,70,575000,Medium,High,84,62,52,64,35,70,64
Y. Maejima,23,178,67,825000,Medium,Medium,71,54,60,64,60,64,64
D. Oberhauser,30,185,83,450000,Medium,Medium,66,64,62,62,48,65,64
W. Falcone,26,195,85,675000,Medium,Medium,65,64,65,68,27,64,64
M. Monthé,26,193,95,675000,Low,High,67,40,46,51,62,80,64
R. Fernández,21,173,73,1300000,Medium,Medium,60,32,53,50,61,60,64
K. Gkezos,28,182,77,500000,Medium,Medium,50,44,49,48,63,75,64
A. Ndiaye,30,179,67,575000,Medium,Medium,88,60,53,68,27,60,64
Bai Jiajun,30,166,65,500000,High,Medium,76,50,56,64,59,70,64
J. O'Brien,35,188,82,150000,Medium,High,33,43,57,53,64,66,64
P. Kammerbauer,24,174,73,775000,Medium,Medium,68,54,62,67,56,68,64
F. Kaya,21,183,78,1300000,Medium,Medium,76,62,44,66,24,59,64
Bernardo Vital,20,187,77,1200000,Medium,Medium,62,29,36,35,66,67,64
S. Auer,30,176,74,500000,Medium,High,63,50,59,64,63,67,64
T. Clarke,23,175,65,1200000,High,Medium,84,52,59,67,57,65,64
A. Grant,34,178,71,200000,Low,Medium,58,50,58,62,61,77,64
J. Cumming,21,186,79,1300000,Medium,Medium,64,64,62,65,33,63,64
F. Carstens,22,192,89,1200000,High,Medium,53,27,43,42,63,75,64
J. Lynch,33,185,81,275000,Medium,Medium,47,44,52,47,63,70,64
A. Nemec,35,192,90,250000,Medium,Medium,44,65,46,60,30,72,64
C. Menacho,21,185,80,1300000,High,Low,71,53,57,66,33,61,64
A. Martínez,23,170,70,850000,High,Medium,77,51,55,70,33,57,64
J. Kauko,30,188,85,550000,High,High,60,61,58,63,62,79,64
M. Pinnock,26,190,69,700000,Medium,Medium,79,57,62,63,46,62,64
J. Castillo,20,179,75,1300000,High,Low,75,63,60,65,38,61,64
P. Banggaard,27,196,84,600000,Medium,Medium,46,38,47,43,65,72,64
D. Dwyer,30,175,82,575000,High,Low,65,66,51,63,32,66,64
Z. Amdouni,20,183,80,1300000,Medium,Medium,69,66,61,65,46,67,64
Cho Young Wook,22,178,73,1300000,Medium,Medium,80,58,55,66,28,64,64
Peng Xinli,29,177,64,575000,Medium,High,78,59,63,66,63,66,64
H. Sandvik,31,183,75,300000,Medium,Medium,62,64,63,62,41,62,64
Charles,25,186,80,775000,Medium,Medium,76,57,62,65,61,65,64
J. Colina,34,170,76,200000,Medium,High,60,36,54,54,66,59,64
K. Kraus,28,190,91,500000,Medium,Medium,45,40,43,40,63,76,64
L. Reddy,39,189,90,60000,Medium,Medium,63,62,61,62,45,65,64
I. Smith,22,174,68,1300000,Medium,Medium,64,53,62,67,53,48,64
J. Lonwijk,21,189,85,1300000,High,Medium,71,58,60,63,57,74,64
A. Kralj,23,164,60,825000,High,Medium,73,34,49,60,59,49,64
Christian Gómez,21,187,80,1300000,Medium,Medium,64,62,61,66,39,63,64
S. Henderson,33,193,87,190000,Medium,Medium,65,62,67,62,39,64,64
J. Brophy,26,180,72,650000,High,Medium,77,52,58,64,55,67,64
D. Butterworth,21,178,65,1300000,High,Low,80,62,49,65,35,60,64
F. Monzón,20,185,79,1300000,Medium,Medium,64,66,49,58,28,63,64
H. Opdal,39,188,91,60000,Medium,Medium,61,61,64,60,41,66,64
E. Gallardo,24,173,68,800000,Medium,Medium,82,56,60,67,33,52,64
M. Deville,28,194,86,600000,Medium,Medium,69,62,59,60,37,77,64
S. Štefánik,29,177,74,575000,Medium,Medium,54,58,62,67,53,54,64
M. Opondo,23,174,72,1200000,High,Medium,73,58,59,68,55,70,64
G. Gbellé,28,179,75,525000,High,High,66,41,58,63,60,67,64
J. Santacruz,24,183,82,850000,Medium,Medium,62,64,44,60,27,58,64
B. Janošević,31,190,86,300000,Medium,Medium,64,66,55,66,23,66,64
M. Gottschling,27,183,72,625000,High,High,79,57,57,64,56,68,64
C. Sørensen,28,179,67,525000,High,Medium,80,56,60,64,56,62,64
S. Abdul-Salaam,29,193,84,525000,Medium,High,73,28,54,60,60,75,64
K. Lankford,22,184,83,950000,High,High,80,55,57,67,21,64,64
L. Kouagba,27,183,81,675000,Medium,Medium,68,34,42,47,61,80,64
F. Gómez,24,170,65,800000,High,Low,77,61,62,65,37,48,64
C. Cropper,28,193,91,500000,Medium,Medium,67,62,61,66,36,61,64
Z. Šarlija,24,189,80,850000,Low,High,56,30,47,41,66,63,64
Ryang Yong Gi,39,173,72,180000,Medium,Medium,32,59,67,66,47,60,64
A. Bittroff,32,186,80,375000,Medium,Medium,71,43,56,63,63,74,64
Apa,21,170,62,1100000,High,Medium,72,26,55,61,61,46,64
P. Clarke,39,183,83,100000,Medium,High,30,42,46,36,63,79,64
C. McFadzean,27,181,75,625000,High,Medium,75,54,60,63,58,59,64
J. Le Cardinal,23,182,73,800000,Medium,Medium,67,31,56,58,63,69,64
M. Kreuzriegler,27,185,77,675000,Medium,Medium,60,28,44,46,64,64,64
M. Szczepański,23,168,60,875000,High,Medium,82,57,61,66,36,62,64
C. Wright,21,182,72,1400000,Medium,Medium,66,60,63,67,56,66,64
S. Reddemann,25,191,79,725000,Medium,Medium,71,31,45,49,64,70,64
D. Baumann,26,178,82,725000,High,Low,68,62,53,62,28,72,64
Ryu Seung Woo,27,172,68,675000,High,Medium,77,60,56,69,44,46,64
J. Ironside,27,183,75,675000,High,Low,68,62,49,60,41,80,64
P. Digby,26,195,70,700000,Medium,High,45,52,58,56,61,76,64
B. Fadiga,20,178,70,1400000,High,Medium,75,47,60,72,59,53,64
R. Benson,29,178,75,575000,Medium,Medium,65,61,65,65,58,68,64
A. Francis,20,184,72,1300000,High,Medium,75,58,59,67,47,65,64
H. Tombakti,22,185,74,1200000,Medium,Medium,81,25,35,36,64,73,64
L. Samardžić,19,184,79,1500000,Medium,Medium,62,61,59,73,29,53,64
V. Jónsson,27,184,75,625000,Medium,Medium,82,53,58,65,62,61,64
N. Holland,23,178,70,1300000,High,Medium,81,55,57,67,26,45,64
Javi Cueto,20,184,75,1500000,High,High,68,64,50,62,25,68,64
N. Mezquida,29,168,68,575000,High,Low,53,60,62,71,35,45,64
M. Ali,23,183,68,1100000,Medium,Medium,63,52,60,63,57,65,64
D. Charles,33,185,85,275000,Medium,Medium,46,44,47,48,64,67,64
L. Kinsella,25,175,75,775000,Medium,High,75,53,60,65,64,79,64
G. Pereira,27,178,73,675000,High,Low,73,56,63,66,43,57,64
R. Longman,20,180,68,1400000,Medium,Medium,82,63,56,66,36,66,64
J. Obika,30,183,76,575000,Medium,Medium,69,62,44,62,33,75,64
T. Marchiori,26,186,84,675000,Medium,Medium,60,67,61,66,28,67,64
K. Pusch,28,181,76,600000,Medium,Medium,66,64,63,65,54,66,64
B. Jacobsen,27,190,85,550000,Medium,Medium,53,54,58,61,61,76,64
A. Whiteman,22,189,84,1100000,Medium,Medium,66,61,59,68,31,62,64
A. Cairns,28,183,72,500000,Medium,Medium,64,61,58,65,48,66,64
J. Biegański,18,183,80,1300000,Medium,Medium,69,48,54,56,62,75,64
K. Çalhanoğlu,18,180,80,1400000,High,Medium,73,51,61,65,57,62,64
F. Achim,29,178,70,525000,High,High,78,53,61,64,57,66,64
M. Lercher,25,177,70,750000,Medium,Medium,72,32,54,62,60,57,64
Z. Medley,20,195,79,1200000,Medium,High,62,30,40,49,65,69,64
A. Jallow,23,183,71,875000,Medium,Medium,75,49,52,63,57,62,64
M. Örnek,24,184,77,850000,High,Medium,73,59,59,67,57,64,64
C. Vivas,19,182,72,1200000,Medium,Medium,61,22,44,42,63,64,64
M. Bartley,34,180,79,200000,Medium,High,43,46,57,59,63,76,64
D. Davis,30,177,82,550000,Medium,High,74,60,64,66,64,79,64
G. Stensness,22,185,82,1200000,Medium,Medium,55,41,53,57,62,77,64
V. Damascan,22,180,74,1300000,High,Low,71,64,56,65,21,62,64
P. Breier,29,185,77,575000,High,High,69,63,58,64,32,71,64
L. Esquivel,19,175,75,1200000,High,Medium,78,42,52,60,58,63,64
T. Mickel,32,185,84,300000,Medium,Medium,64,62,64,65,47,61,64
L. Fülöp,23,180,76,925000,High,Low,70,60,63,65,44,65,64
J. Harvey,37,180,78,130000,Medium,Medium,49,54,59,59,64,70,64
I. Ogbu,21,187,78,1200000,Medium,High,72,39,51,54,63,74,64
H. Otani,36,174,67,110000,Low,High,32,35,58,48,64,57,64
J. Matt,31,194,92,500000,High,High,55,63,51,59,26,82,64
H. Pell,29,193,85,575000,High,High,57,62,61,58,63,80,64
B. Nievas,23,180,77,1100000,Medium,Medium,56,40,60,59,62,67,64
E. Papa,28,178,75,525000,High,High,66,58,61,63,59,69,64
B. Barry,25,182,73,800000,Medium,Medium,78,53,60,70,56,61,64
A. Gallo,21,183,73,1300000,High,Medium,79,50,61,62,58,54,64
M. Ingebrigtsen,24,170,68,800000,Medium,Low,82,62,54,68,42,51,64
M. Duffy,35,175,72,240000,Medium,Medium,53,61,67,67,42,48,64
Ethyan,19,185,75,1500000,Medium,Medium,65,64,58,60,31,59,64
A. Conte,27,179,73,625000,Medium,Medium,64,32,58,58,62,72,64
S. McLoughlin,24,175,70,1200000,Medium,Medium,76,58,62,67,58,61,64
Pablo Vázquez,26,185,82,725000,Medium,Medium,46,30,43,38,66,64,64
L. Maloney,21,187,89,1200000,Medium,Medium,63,44,54,57,60,74,64
C. Cowell,17,182,75,1500000,High,Medium,84,62,57,65,34,72,64
R. Gall,26,175,63,650000,High,Low,81,64,57,67,39,45,64
B. Stevenson,24,182,67,875000,Medium,High,71,60,64,64,59,66,64
J. Pask,23,187,76,1200000,Medium,Medium,78,29,51,54,63,68,64
Gonçalo Agrelos,23,181,72,925000,High,Medium,73,55,61,66,53,61,64
H. Zagbayou,31,170,63,400000,High,High,65,45,61,61,61,56,64
M. Stryjek,24,188,82,750000,Medium,Medium,65,63,62,64,43,63,64
J. Amon,22,175,71,1200000,Medium,Low,89,55,53,68,27,57,64
P. Mićin,22,189,71,1300000,High,Low,59,64,61,68,34,49,64
I. Kandouss,23,192,83,850000,Medium,Medium,58,25,41,38,64,72,64
T. Vincensini,27,184,79,575000,Medium,Medium,64,65,59,63,52,63,64
F. Ayaz,26,178,73,700000,High,Low,75,55,57,70,33,56,64
N. Trott,22,188,75,1100000,Medium,Medium,64,63,66,68,36,62,64
B. Pitman,33,183,70,375000,Medium,Low,46,67,58,61,28,64,64
M. Al Shanqeeti,22,173,70,1300000,Medium,Medium,75,36,55,62,59,60,64
F. Mora,25,173,73,800000,High,Medium,74,42,59,61,59,58,64
N. Contini,25,190,82,725000,Medium,Medium,64,63,57,65,48,61,64
Rodrigo Andrade,19,180,74,1400000,Medium,Medium,65,48,64,66,56,64,64
A. Ralston,22,178,76,875000,Medium,Medium,70,44,58,62,61,67,64
T. Dele-Bashiru,21,178,68,1300000,High,Medium,76,59,58,69,57,62,64
Jair,26,174,68,675000,Medium,Medium,77,57,62,66,56,67,64
Z. Lepasa,24,180,76,900000,Medium,Medium,74,65,44,63,26,55,64
Leândro,32,175,74,475000,High,High,66,65,60,66,29,51,64
E. Maciel,24,180,74,800000,Medium,High,55,43,63,59,59,63,64
C. Gravius,23,181,72,875000,Medium,Medium,66,51,65,65,48,59,64
T. Fornah,21,185,72,1200000,Medium,Medium,68,47,56,60,60,72,64
B. Austin,22,188,75,1100000,Medium,Medium,69,63,55,62,32,64,64
A. Palić,33,177,73,375000,High,Medium,56,53,65,68,44,61,64
S. Péan,21,190,82,1100000,Medium,Medium,68,62,59,71,28,64,64
B. Wembangomo,24,181,75,825000,Medium,Medium,82,44,53,65,58,64,64
M. Litka,25,180,67,775000,Medium,Medium,77,59,57,67,36,47,64
M. Andersen,32,195,80,300000,Medium,Medium,66,60,58,65,36,66,64
R. Hernández,23,172,70,1200000,Medium,Medium,82,33,52,61,59,65,64
T. Mengi,19,183,78,1400000,High,High,78,39,54,59,63,68,64
S. Andreou,18,188,78,1300000,Low,High,72,30,50,56,63,72,64
J. Okkels,21,183,75,1400000,High,Medium,82,58,56,66,26,61,64
F. Assmann,35,188,80,60000,Medium,Medium,70,53,65,66,52,64,64
P. Owusu,24,191,87,850000,Medium,Medium,73,62,44,54,36,73,64
L. Diabyfadiga,20,188,82,1300000,Medium,Medium,66,63,56,63,25,64,64
P. Gunnarsson,20,190,79,1200000,Medium,Medium,68,64,68,66,30,64,64
E. Del Prato,21,183,74,1300000,Medium,Medium,71,45,59,60,60,60,64
Óscar Clemente,22,175,67,1300000,Medium,Medium,73,53,68,61,40,49,64
K. Leshabela,21,175,72,1300000,Medium,Medium,80,59,61,67,47,59,64
L. Schlüter,29,185,78,525000,High,Medium,65,52,60,65,59,67,64
A. Cáceres,25,170,65,775000,High,Medium,73,60,65,64,45,53,64
S. Lynen,22,185,80,925000,Medium,Medium,60,58,61,60,56,72,64
T. Gemicibaşi,25,180,70,700000,High,Medium,62,57,59,60,59,72,64
Yang Xiaotian,31,178,75,425000,High,Medium,68,56,59,60,62,72,64
J. Nolan,29,180,72,575000,High,Medium,68,62,62,67,57,64,64
K. Shiihashi,24,178,70,775000,Medium,High,58,33,57,58,61,71,64
L. Marseiler,24,176,68,925000,Medium,Medium,81,56,57,66,35,58,64
R. Yaslam,26,167,56,700000,Medium,Low,78,57,60,68,30,41,64
A. Cruz,25,165,66,850000,High,High,70,61,58,71,62,70,64
S. Lewkot,22,187,85,1200000,High,Medium,67,46,55,60,63,72,64
N. Al Subhi,31,180,74,400000,High,Medium,60,46,50,48,63,75,64
A. Alfaro,28,183,79,600000,Low,High,59,25,45,51,63,71,64
K. Goudmijn,19,173,58,1500000,Medium,Low,78,50,64,70,56,46,64
D. Mandroiu,22,180,73,1200000,Medium,Medium,66,63,64,66,51,62,64
R. Nishio,20,180,77,1200000,Medium,Medium,71,38,54,55,63,66,64
T. Căpușă,23,183,74,775000,Medium,Medium,76,40,54,59,57,71,64
H. Singh,30,180,74,550000,Medium,Medium,47,61,65,64,54,64,64
F. Purece,29,182,73,575000,Medium,Low,66,62,63,65,38,58,64
C. Togashi,27,178,75,625000,Medium,Medium,74,62,45,63,27,66,64
G. Thomson,29,175,69,575000,High,Medium,75,57,60,63,53,61,64
M. O'Hara,25,183,73,700000,High,High,70,59,61,65,61,72,64
M. Caicedo,19,178,71,1400000,High,High,72,56,60,61,56,60,64
W. Caddy,24,183,83,925000,Medium,Medium,79,64,48,65,28,61,64
C. Depres,26,188,80,725000,Medium,Medium,37,67,51,60,30,58,64
A. Lutego,25,175,71,575000,Medium,Medium,60,45,63,64,59,61,64
C. Wood,24,177,78,775000,High,Medium,76,49,55,61,57,69,64
E. List,24,174,74,800000,High,Medium,93,62,53,65,28,67,64
N. González,22,170,68,1200000,High,Medium,70,61,60,67,28,47,64
R. Bacchia,22,185,80,1000000,Medium,Medium,65,62,57,64,29,66,64
E. Tallig,21,178,70,1300000,Medium,Medium,72,57,61,69,51,64,64
F. Bonansea,23,185,78,1100000,Medium,Medium,69,58,57,67,41,62,64
M. Koval,28,189,79,500000,Medium,Medium,65,63,63,66,42,62,64
C. Butcher,30,185,83,550000,Medium,High,54,59,59,63,65,79,64
J. Stanišić,21,186,77,1300000,Medium,Medium,65,28,49,58,64,60,64
D. Jones,36,183,80,180000,Medium,High,46,60,68,63,65,62,64
V. Adeboyejo,23,178,63,925000,High,Medium,74,61,49,65,26,67,64
L. Lissens,19,181,74,1200000,Medium,Medium,68,27,50,55,62,66,64
P. Kioso,21,183,73,1300000,High,Medium,69,35,54,60,61,65,64
S. Lammens,18,193,72,1300000,Medium,Medium,70,60,58,67,22,58,64
G. Lefebvre,27,175,68,600000,Low,Medium,70,51,62,66,61,56,64
M. Kiprit,21,182,80,1300000,Medium,Medium,71,63,47,65,30,69,64
A. Fernández,25,177,70,775000,High,Medium,71,64,61,66,59,59,64
F. Fofana,18,188,74,1600000,High,Medium,79,64,58,62,22,66,64
J. Jach,27,192,78,675000,High,Medium,58,45,51,55,62,75,64
N. Fernández Mercau,21,172,66,1300000,Medium,Medium,76,53,58,66,56,57,64
W. Grigg,29,180,70,575000,Medium,Medium,69,65,48,63,32,65,64
Javi Robles,20,186,71,1400000,High,High,62,58,59,63,60,63,64
L. Lyratzis,21,176,70,1300000,Medium,Medium,74,46,55,61,58,67,64
Fran González,22,188,81,1200000,Medium,High,48,26,45,45,61,76,64
S. Finley,28,170,68,575000,Medium,High,68,58,64,68,60,70,64
A. Cvetkovic,26,188,85,675000,Medium,Medium,67,35,45,48,64,73,64
P. McGowan,33,170,65,350000,High,Medium,72,62,63,71,53,60,64
V. Koman,32,173,67,450000,High,Medium,66,62,69,64,51,56,64
M. McGuinness,20,194,70,1300000,Medium,High,54,35,46,56,64,69,64
S. Jakubiak,28,175,67,525000,Medium,Medium,66,55,60,66,62,61,64
B. Kallman,30,188,86,475000,Low,High,49,39,49,36,63,79,64
G. Morris,37,183,70,60000,Medium,Medium,65,62,62,64,33,63,64
B. Šerbečić,23,194,80,1200000,Low,Medium,64,25,41,45,64,69,64
D. Mendoza,36,180,77,130000,Low,Medium,58,34,51,57,63,69,64
M. Pašalić,20,177,74,1300000,High,Medium,75,59,59,64,32,57,64
J. Hingert,30,170,68,500000,High,High,70,37,57,62,59,67,64
D. Duarte,19,176,78,1100000,High,Low,72,67,48,62,18,58,63
Han Hee Hoon,30,183,78,400000,Medium,High,53,23,35,41,64,75,63
A. Tarbell,27,191,88,450000,Medium,Medium,63,63,58,69,29,62,63
T. Yanagi,23,185,80,675000,Medium,High,81,36,51,54,58,73,63
S. Hughes,24,187,80,900000,Medium,High,54,33,44,45,63,71,63
M. Miller,25,178,70,575000,Medium,Medium,73,62,55,64,43,58,63
William de Amorim,29,180,70,475000,High,Low,78,61,61,65,37,55,63
S. Foley,34,183,74,220000,High,High,59,57,63,63,61,67,63
E. Cornelisse,19,178,65,1100000,Medium,Medium,66,32,52,53,63,61,63
Forniés,30,177,71,425000,Medium,Medium,77,31,50,55,58,72,63
A. Ceesay,27,189,75,550000,Medium,Medium,88,61,54,61,33,64,63
B. Bodily,23,175,68,750000,High,Medium,71,56,61,64,54,54,63
Bruno Andrade,27,175,74,500000,Medium,Low,82,59,58,66,46,52,63
R. Dadashov,22,186,81,1100000,High,High,65,63,49,59,24,62,63
Pablo Gálvez,19,185,78,1100000,High,Medium,67,63,46,64,19,63,63
H. Martínez,23,185,73,1000000,Medium,High,71,33,51,49,63,67,63
R. Bentancourt,28,186,74,500000,High,Medium,73,61,52,62,25,62,63
S. Ramírez,20,180,75,1200000,Medium,Low,75,54,57,64,32,56,63
C. Espinoza,32,183,77,240000,Medium,Medium,66,57,66,60,48,65,63
R. César,27,180,70,525000,High,Medium,69,62,48,66,24,62,63
B. Hanlan,24,182,83,775000,High,High,84,62,50,64,35,71,63
R. Muñoz,39,181,79,50000,Medium,Medium,61,63,62,63,45,64,63
M. Moreira,27,173,68,475000,Medium,Medium,76,40,57,60,57,63,63
A. Al Barakah,30,175,68,400000,Medium,Medium,57,46,55,61,59,72,63
F. Prce,25,185,79,675000,High,Medium,66,40,51,51,64,71,63
Li Hang,31,182,77,400000,High,Medium,68,61,65,60,58,71,63
A. Al Shammari,25,177,63,550000,Medium,Medium,77,49,57,64,53,66,63
A. Türkaslan,26,188,83,525000,Medium,Medium,64,62,64,68,15,55,63
J. Célestine,23,191,83,900000,Medium,Medium,49,26,37,45,65,67,63
M. Benger,22,188,73,925000,Medium,Medium,56,42,58,60,62,62,63
Pernambuco,23,187,73,1100000,High,Medium,75,56,53,68,26,48,63
S. Križman,31,179,74,400000,High,Low,71,61,60,61,30,61,63
N. Sakurauchi,31,176,73,400000,High,High,66,44,60,65,60,68,63
C. Cvetko,24,181,74,675000,Medium,Medium,60,53,60,61,56,73,63
Samu Casado,24,187,77,825000,Medium,Medium,63,62,59,69,45,57,63
T. Smith,31,188,82,325000,Medium,Medium,48,37,50,51,62,75,63
P. Downing,29,188,79,400000,Low,Medium,53,37,49,45,63,72,63
P. Mancilla,28,170,59,475000,Medium,Medium,75,48,58,63,31,46,63
J. Gómez,19,183,78,1100000,High,Medium,80,62,51,68,38,64,63
C. Ben Saada,37,176,72,160000,Medium,Medium,53,62,65,66,41,41,63
M. Steinwender,21,190,77,1000000,Medium,Medium,50,29,42,39,63,70,63
A. Rodman,34,188,80,180000,High,Medium,68,57,60,64,57,66,63
J. Lindseth,25,182,71,675000,Medium,Medium,71,56,60,69,58,67,63
L. Beltrán,20,176,77,1200000,Medium,Medium,67,61,54,63,22,59,63
Y. Bilingi,22,180,70,925000,Medium,Medium,67,40,48,54,62,66,63
K. Otani,32,186,90,240000,Medium,Medium,62,65,70,67,42,60,63
E. Zehir,23,183,78,675000,Medium,Medium,66,38,55,59,63,65,63
J. Brandon,23,176,70,1000000,High,High,79,44,58,65,57,63,63
M. Marshall,34,170,69,230000,High,Medium,80,57,58,67,51,61,63
J. Hill,19,182,65,1100000,Medium,Medium,67,25,43,48,62,69,63
M. Benning,27,178,77,500000,High,Medium,75,58,59,62,57,67,63
S. Muratore,23,186,74,1100000,Medium,Medium,61,50,62,59,61,58,63
C. Rushworth,19,188,86,1100000,Medium,Medium,63,62,63,65,36,62,63
A. Dobra,20,170,60,1200000,Medium,Low,82,55,57,67,38,47,63
N. Bürgy,25,185,75,575000,Low,Medium,48,29,43,46,64,65,63
I. Mamut,24,192,82,975000,Medium,Medium,64,63,57,59,25,77,63
C. Cresswell,18,191,75,1100000,Medium,Medium,52,27,48,49,63,63,63
C. Montaña,23,173,68,1000000,Low,Medium,59,35,53,50,58,72,63
D. Mbayo,19,175,65,1100000,High,Medium,79,59,56,71,29,40,63
A. Akbulut,20,195,82,1000000,Medium,Medium,65,61,59,68,34,64,63
J. Acevedo,24,172,70,750000,High,Low,69,64,58,66,30,52,63
S. Cocimano,21,188,80,1200000,Medium,Medium,49,63,50,57,32,67,63
B. Shea,31,191,86,400000,High,Medium,66,59,60,62,57,71,63
B. Mitchell,20,176,75,1000000,Medium,Medium,67,52,61,66,50,54,63
R. Sharahili,28,185,77,425000,High,Medium,49,49,57,60,58,75,63
L. Desmond,26,183,75,600000,Low,High,52,44,56,58,62,70,63
J. Passaglia,32,181,75,375000,Medium,Medium,67,52,60,60,55,60,63
H. López Muñoz,20,168,67,1200000,Medium,Medium,77,58,58,69,35,48,63
Echu,23,173,65,975000,High,Low,74,58,59,65,23,38,63
Bae Jae Woo,28,174,74,425000,Medium,Medium,77,28,49,59,59,67,63
Torrente,19,193,79,1200000,Medium,Medium,57,31,49,42,64,66,63
E. Youan,22,183,78,1100000,Medium,Medium,73,63,49,64,29,54,63
P. Arano,26,187,70,575000,High,Medium,66,61,54,66,35,66,63
A. Senghor,35,188,80,200000,High,Low,49,65,41,58,22,66,63
S. Keita,20,173,67,1100000,Medium,Medium,74,56,59,67,24,48,63
G. Likonza,23,173,66,725000,Medium,Medium,65,56,62,65,38,52,63
A. Ståhl,26,187,75,575000,Medium,Medium,71,58,57,64,48,58,63
R. Watanabe,24,175,70,700000,High,Medium,76,63,60,66,45,61,63
Shin Chang Moo,28,170,67,475000,Medium,Medium,67,58,61,65,44,66,63
Neskes,19,177,70,1100000,Medium,Medium,66,59,62,64,50,61,63
J. Key,21,178,72,1000000,High,High,81,49,49,60,55,57,63
J. Brimmer,23,169,68,725000,Medium,Medium,68,54,64,65,56,60,63
J. Valoyes,34,190,77,160000,Low,High,59,28,41,40,66,61,63
E. Ólafsson,21,201,85,925000,Medium,Medium,63,64,51,65,31,64,63
Wei Zhen,24,188,78,1000000,Medium,Medium,66,34,54,51,63,70,63
S. Kelly,27,191,76,500000,High,Medium,68,38,55,57,59,64,63
Moon Chang Jin,27,170,63,500000,High,Medium,70,60,65,69,42,52,63
C. Arabe,29,173,71,475000,Medium,Medium,62,54,63,70,54,61,63
M. Jamal,27,172,65,0,Medium,Medium,65,46,59,64,60,56,63
J. Altamirano,21,172,68,1100000,High,Medium,74,61,58,67,50,56,63
R. Moon,24,180,74,725000,Medium,Medium,77,58,44,66,27,59,63
A. Lajami,25,178,75,875000,Medium,Medium,76,47,53,55,63,70,63
B. Spittal,25,183,72,625000,Medium,Medium,80,57,57,63,46,56,63
A. Katsantonis,21,181,75,1100000,Medium,Medium,63,59,50,66,19,58,63
Llabrés,19,172,71,1200000,High,Medium,81,57,55,66,31,51,63
I. Armaș,33,194,86,230000,Low,High,34,39,49,37,62,78,63
S. Portocarrero,24,170,67,675000,High,Medium,78,57,56,66,58,58,63
B. Alceus,25,174,75,600000,Medium,Medium,67,45,58,63,59,67,63
N. Bruneel,24,178,68,950000,High,Medium,73,60,58,63,60,57,63
J. Wilson,32,189,82,300000,Medium,Medium,53,38,50,53,63,74,63
J. Al-Hazaimeh,29,194,78,400000,Medium,Medium,68,40,51,56,61,72,63
S. Schäfer,27,189,82,500000,Medium,Medium,58,28,45,49,63,68,63
I. Šaranić,18,185,76,1200000,Medium,Low,72,56,62,72,28,61,63
P. Pomer,23,180,70,975000,High,Medium,72,56,63,61,40,43,63
E. Embleton,22,173,64,1100000,Medium,Medium,72,58,61,64,52,56,63
Luis Carbonell,18,169,67,1200000,Medium,Medium,74,64,51,70,19,43,63
M. Bajamich,21,178,75,1200000,High,High,70,60,52,63,27,59,63
K. Watson,31,184,78,325000,Medium,High,50,48,56,57,63,71,63
D. Tetek,18,177,65,1100000,Medium,High,68,46,57,61,61,63,63
Saulo Mineiro,24,184,85,700000,Medium,Medium,76,60,55,60,21,74,63
T. Boere,28,183,78,500000,Medium,Low,67,64,52,59,30,74,63
M. Kocić,31,177,73,350000,Low,Medium,72,34,53,55,61,63,63
Koo Dae Young,29,177,72,425000,Medium,Medium,72,38,51,63,58,66,63
G. Marsh,22,178,68,1000000,Medium,Medium,58,44,57,57,60,64,63
G. Bolger,32,184,80,325000,Medium,High,50,53,58,56,60,70,63
P. Zubczuk,26,188,80,475000,Medium,Medium,63,60,62,66,45,58,63
L. Clarke,36,188,89,160000,Medium,Medium,49,64,54,56,29,71,63
R. Champang,27,178,68,500000,Medium,Medium,72,62,60,62,41,66,63
C. Telo,31,172,72,350000,Medium,Medium,73,44,61,66,57,62,63
B. Barticciotto,20,175,70,1200000,High,Low,74,60,41,66,19,56,63
J. Giani,22,180,69,1100000,High,Low,71,60,59,62,25,53,63
J. Gundersen,25,186,82,675000,Medium,Medium,55,35,47,47,63,66,63
W. Bianda,21,185,82,900000,Medium,Medium,55,26,42,49,63,68,63
S. Lambèse,25,171,72,625000,Medium,Medium,77,34,52,58,58,59,63
J. Iredale,25,184,70,650000,Medium,Medium,75,37,51,58,57,63,63
A. Adam,26,178,72,625000,High,Low,74,63,47,64,19,63,63
Lee Tae Hee,26,188,87,550000,Medium,Medium,62,61,59,64,44,62,63
D. Campbell,20,182,71,1200000,Medium,Medium,69,54,63,67,54,51,63
D. Pereira,25,179,63,625000,High,Medium,66,54,58,66,38,47,63
C. Masterson,22,185,75,1000000,Medium,Medium,51,33,39,37,65,64,63
M. Cichocki,29,187,79,450000,Medium,High,57,25,46,46,64,67,63
C. Montaño,29,180,76,425000,High,Medium,77,58,58,65,57,62,63
Kim Hyun Sung,31,187,83,400000,Medium,Low,72,62,51,60,32,68,63
D. Bakwa,18,179,77,1100000,Medium,Low,78,52,57,68,30,56,63
Jung Hoon Sung,27,172,70,500000,High,Medium,71,47,57,66,27,38,63
